,date,home_team,score,away_team,,,
811,31-07-2021,Seattle Sounders FC,0 - 1,San Jose Earthquakes,,,
812,05-08-2021,Seattle Sounders FC,1 - 2,FC Dallas,,,
813,16-08-2021,Portland Timbers,7 - 1,Seattle Sounders FC,,,
814,19-08-2021,FC Dallas,0 - 1,Seattle Sounders FC,,,
815,21-08-2021,Columbus Crew,2 - 2,Seattle Sounders FC,,,
816,30-08-2021,Seattle Sounders FC,0 - 2,Portland Timbers,,,
817,11-09-2021,Seattle Sounders FC,1 - 0,Minnesota Utd,,,
818,19-09-2021,Real Salt Lake,1 - 0,Seattle Sounders FC,,,
819,26-09-2021,Sporting Kansas City,2 - 2,Seattle Sounders FC,,,
82,22-07-2021,Chicago Fire,2 - 3,DC United,,,
820,30-09-2021,San Jose Earthquakes,4 - 4,Seattle Sounders FC,,,
821,04-10-2021,Seattle Sounders FC,3 - 0,Colorado Rapids,,,
822,10-10-2021,Seattle Sounders FC,1 - 5,Vancouver Whitecaps,,,
823,17-10-2021,Houston Dynamo,1 - 3,Seattle Sounders FC,,,
824,21-10-2021,Colorado Rapids,1 - 2,Seattle Sounders FC,,,
825,23-10-2021,Seattle Sounders FC,2 - 2,Sporting Kansas City,,,
826,27-10-2021,Los Angeles FC,3 - 0,Seattle Sounders FC,,,
827,02-11-2021,Seattle Sounders FC,1 - 2,LA Galaxy,,,
828,07-11-2021,Vancouver Whitecaps,1 - 2,Seattle Sounders FC,,,
829,18-04-2021,New York Red Bulls,2 - 2,Sporting Kansas City,,,
83,25-07-2021,Chicago Fire,2 - 2,Toronto FC,,,
830,23-04-2021,Sporting Kansas City,1 - 2,Orlando City SC,,,
831,01-05-2021,Real Salt Lake,1 - 4,Sporting Kansas City,,,
832,09-05-2021,Sporting Kansas City,1 - 3,Austin,,,
833,13-05-2021,Houston Dynamo,1 - 0,Sporting Kansas City,,,
834,16-05-2021,Sporting Kansas City,3 - 0,Vancouver Whitecaps,,,
835,23-05-2021,San Jose Earthquakes,4 - 4,Sporting Kansas City,,,
836,30-05-2021,Sporting Kansas City,2 - 4,Houston Dynamo,,,
837,12-06-2021,Sporting Kansas City,1 - 2,Austin,,,
838,20-06-2021,Portland Timbers,1 - 3,Sporting Kansas City,,,
839,24-06-2021,Sporting Kansas City,1 - 4,Colorado Rapids,,,
84,01-08-2021,Philadelphia Union,1 - 2,Chicago Fire,,,
840,26-06-2021,Sporting Kansas City,1 - 3,Los Angeles FC,,,
841,05-07-2021,LA Galaxy,0 - 2,Sporting Kansas City,,,
842,22-07-2021,Sporting Kansas City,1 - 2,San Jose Earthquakes,,,
843,26-07-2021,Seattle Sounders FC,4 - 4,Sporting Kansas City,,,
844,01-08-2021,Sporting Kansas City,2 - 2,FC Dallas,,,
845,05-08-2021,Los Angeles FC,5 - 2,Sporting Kansas City,,,
846,08-08-2021,Colorado Rapids,0 - 0,Sporting Kansas City,,,
847,15-08-2021,FC Dallas,0 - 2,Sporting Kansas City,,,
848,19-08-2021,Sporting Kansas City,1 - 2,Portland Timbers,,,
849,21-08-2021,Minnesota Utd,0 - 0,Sporting Kansas City,,,
85,05-08-2021,Chicago Fire,0 - 0,New York City FC,,,
850,29-08-2021,Sporting Kansas City,1 - 2,Colorado Rapids,,,
851,04-09-2021,Los Angeles FC,4 - 0,Sporting Kansas City,,,
852,12-09-2021,Sporting Kansas City,2 - 0,Chicago Fire,,,
853,16-09-2021,Sporting Kansas City,4 - 0,Minnesota Utd,,,
854,26-09-2021,Sporting Kansas City,2 - 2,Seattle Sounders FC,,,
855,30-09-2021,FC Dallas,4 - 4,Sporting Kansas City,,,
856,03-10-2021,Sporting Kansas City,3 - 1,Houston Dynamo,,,
857,18-10-2021,Vancouver Whitecaps,1 - 3,Sporting Kansas City,,,
858,23-10-2021,Seattle Sounders FC,2 - 2,Sporting Kansas City,,,
859,28-10-2021,Sporting Kansas City,2 - 0,LA Galaxy,,,
86,08-08-2021,Chicago Fire,1 - 3,New York Red Bulls,,,
860,31-10-2021,Minnesota Utd,1 - 3,Sporting Kansas City,,,
861,04-11-2021,Austin,1 - 4,Sporting Kansas City,,,
862,07-11-2021,Sporting Kansas City,0 - 1,Real Salt Lake,,,
863,20-11-2021,Sporting Kansas City,1 - 4,Vancouver Whitecaps,,,
864,28-11-2021,Sporting Kansas City,2 - 2,Real Salt Lake,,,
865,17-04-2021,Montreal Impact,3 - 1,Toronto FC,,,
866,24-04-2021,Toronto FC,2 - 3,Vancouver Whitecaps,,,
867,08-05-2021,New York Red Bulls,2 - 0,Toronto FC,,,
868,12-05-2021,Toronto FC,2 - 0,Columbus Crew,,,
869,15-05-2021,New York City FC,1 - 2,Toronto FC,,,
87,15-08-2021,Chicago Fire,1 - 0,Columbus Crew,,,
870,22-05-2021,Orlando City SC,1 - 0,Toronto FC,,,
871,29-05-2021,Columbus Crew,1 - 3,Toronto FC,,,
872,19-06-2021,Toronto FC,4 - 4,Orlando City SC,,,
873,24-06-2021,Nashville SC (MLS),2 - 4,Toronto FC,,,
874,26-06-2021,Toronto FC,0 - 2,FC Cincinnati,,,
875,03-07-2021,DC United,2 - 1,Toronto FC,,,
876,07-07-2021,New England Revolution,4 - 4,Toronto FC,,,
877,17-07-2021,Toronto FC,1 - 2,Orlando City SC,,,
878,21-07-2021,Toronto FC,1 - 2,New York Red Bulls,,,
879,25-07-2021,Chicago Fire,2 - 2,Toronto FC,,,
88,18-08-2021,Club Internacional de Fútbol Miami,2 - 4,Chicago Fire,,,
880,01-08-2021,Toronto FC,1 - 2,Nashville SC (MLS),,,
881,04-08-2021,Philadelphia Union,3 - 0,Toronto FC,,,
882,08-08-2021,Toronto FC,2 - 3,New York City FC,,,
883,15-08-2021,Toronto FC,2 - 2,New England Revolution,,,
884,18-08-2021,Atlanta United FC,1 - 0,Toronto FC,,,
885,22-08-2021,Club Internacional de Fútbol Miami,1 - 4,Toronto FC,,,
886,27-08-2021,Montreal Impact,1 - 4,Toronto FC,,,
887,12-09-2021,FC Cincinnati,2 - 0,Toronto FC,,,
888,14-09-2021,Toronto FC,0 - 1,Club Internacional de Fútbol Miami,,,
889,18-09-2021,Toronto FC,1 - 3,Nashville SC (MLS),,,
89,22-08-2021,Orlando City SC,1 - 0,Chicago Fire,,,
890,26-09-2021,Colorado Rapids,0 - 0,Toronto FC,,,
891,29-09-2021,Toronto FC,2 - 4,FC Cincinnati,,,
892,03-10-2021,Toronto FC,1 - 4,Chicago Fire,,,
893,16-10-2021,Toronto FC,0 - 2,Atlanta United FC,,,
894,20-10-2021,Club Internacional de Fútbol Miami,3 - 0,Toronto FC,,,
895,23-10-2021,Toronto FC,1 - 2,Montreal Impact,,,
896,27-10-2021,Toronto FC,2 - 3,Philadelphia Union,,,
897,30-10-2021,Atlanta United FC,1 - 2,Toronto FC,,,
898,07-11-2021,Toronto FC,4 - 4,DC United,,,
899,19-04-2021,Vancouver Whitecaps,1 - 0,Portland Timbers,,,
9,27-06-2021,Atlanta United FC,0 - 0,New York Red Bulls,,,
90,28-08-2021,New York Red Bulls,0 - 1,Chicago Fire,,,
900,24-04-2021,Toronto FC,2 - 3,Vancouver Whitecaps,,,
901,03-05-2021,Vancouver Whitecaps,0 - 1,Colorado Rapids,,,
902,08-05-2021,Vancouver Whitecaps,2 - 0,Montreal Impact,,,
903,13-05-2021,Minnesota Utd,1 - 0,Vancouver Whitecaps,,,
904,16-05-2021,Sporting Kansas City,3 - 0,Vancouver Whitecaps,,,
905,23-05-2021,Houston Dynamo,1 - 3,Vancouver Whitecaps,,,
906,19-06-2021,Real Salt Lake,1 - 4,Vancouver Whitecaps,,,
907,24-06-2021,Vancouver Whitecaps,2 - 2,LA Galaxy,,,
908,27-06-2021,Seattle Sounders FC,2 - 3,Vancouver Whitecaps,,,
909,05-07-2021,FC Dallas,2 - 3,Vancouver Whitecaps,,,
91,12-09-2021,Sporting Kansas City,2 - 0,Chicago Fire,,,
910,08-07-2021,Vancouver Whitecaps,0 - 4,Real Salt Lake,,,
911,18-07-2021,Vancouver Whitecaps,1 - 3,LA Galaxy,,,
912,21-07-2021,Vancouver Whitecaps,0 - 0,Houston Dynamo,,,
913,25-07-2021,Los Angeles FC,2 - 3,Vancouver Whitecaps,,,
914,01-08-2021,Vancouver Whitecaps,2 - 3,Minnesota Utd,,,
915,09-08-2021,LA Galaxy,1 - 2,Vancouver Whitecaps,,,
916,14-08-2021,San Jose Earthquakes,0 - 0,Vancouver Whitecaps,,,
917,19-08-2021,Austin,2 - 2,Vancouver Whitecaps,,,
918,22-08-2021,Vancouver Whitecaps,1 - 3,Los Angeles FC,,,
919,30-08-2021,Vancouver Whitecaps,1 - 5,Real Salt Lake,,,
92,15-09-2021,DC United,3 - 0,Chicago Fire,,,
920,04-09-2021,Vancouver Whitecaps,1 - 3,Austin,,,
921,11-09-2021,Vancouver Whitecaps,0 - 1,Portland Timbers,,,
922,20-09-2021,Colorado Rapids,1 - 2,Vancouver Whitecaps,,,
923,26-09-2021,Vancouver Whitecaps,1 - 0,FC Dallas,,,
924,30-09-2021,Houston Dynamo,0 - 0,Vancouver Whitecaps,,,
925,03-10-2021,Vancouver Whitecaps,3 - 0,San Jose Earthquakes,,,
926,10-10-2021,Seattle Sounders FC,1 - 5,Vancouver Whitecaps,,,
927,18-10-2021,Vancouver Whitecaps,1 - 3,Sporting Kansas City,,,
928,21-10-2021,Portland Timbers,4 - 4,Vancouver Whitecaps,,,
929,24-10-2021,San Jose Earthquakes,1 - 2,Vancouver Whitecaps,,,
93,19-09-2021,Montreal Impact,2 - 0,Chicago Fire,,,
930,28-10-2021,Vancouver Whitecaps,1 - 3,Minnesota Utd,,,
931,03-11-2021,Los Angeles FC,1 - 2,Vancouver Whitecaps,,,
932,07-11-2021,Vancouver Whitecaps,1 - 2,Seattle Sounders FC,,,
933,20-11-2021,Sporting Kansas City,1 - 4,Vancouver Whitecaps,,,
94,23-09-2021,Chicago Fire,4 - 4,New England Revolution,,,
95,26-09-2021,Chicago Fire,0 - 0,Nashville SC (MLS),,,
96,30-09-2021,Chicago Fire,2 - 0,New York City FC,,,
97,03-10-2021,Toronto FC,1 - 4,Chicago Fire,,,
98,16-10-2021,New England Revolution,2 - 3,Chicago Fire,,,
99,20-10-2021,FC Cincinnati,5 - 4,Chicago Fire,,,
