,date,home_team,score,away_team,,,
4,15-05-2021,Atlanta United FC,1 - 0,Montreal Impact,,,
40,24-05-2021,Nashville SC (MLS),1 - 0,Austin,,,
400,19-09-2021,Portland Timbers,1 - 3,Los Angeles FC,,,
401,26-09-2021,San Jose Earthquakes,2 - 0,Los Angeles FC,,,
402,30-09-2021,Los Angeles FC,2 - 2,Portland Timbers,,,
403,04-10-2021,LA Galaxy,1 - 2,Los Angeles FC,,,
404,16-10-2021,Los Angeles FC,1 - 4,San Jose Earthquakes,,,
405,21-10-2021,FC Dallas,4 - 4,Los Angeles FC,,,
406,24-10-2021,Minnesota Utd,1 - 2,Los Angeles FC,,,
407,27-10-2021,Los Angeles FC,3 - 0,Seattle Sounders FC,,,
408,03-11-2021,Los Angeles FC,1 - 2,Vancouver Whitecaps,,,
409,07-11-2021,Colorado Rapids,3 - 2,Los Angeles FC,,,
41,31-05-2021,Seattle Sounders FC,0 - 0,Austin,,,
410,17-04-2021,Seattle Sounders FC,4 - 0,Minnesota Utd,,,
411,25-04-2021,Minnesota Utd,2 - 2,Real Salt Lake,,,
412,02-05-2021,Minnesota Utd,0 - 1,Austin,,,
413,09-05-2021,Colorado Rapids,2 - 4,Minnesota Utd,,,
414,13-05-2021,Minnesota Utd,1 - 0,Vancouver Whitecaps,,,
415,16-05-2021,Minnesota Utd,1 - 0,FC Dallas,,,
416,30-05-2021,Real Salt Lake,1 - 2,Minnesota Utd,,,
417,20-06-2021,FC Dallas,1 - 2,Minnesota Utd,,,
418,24-06-2021,Minnesota Utd,2 - 0,Austin,,,
419,27-06-2021,Portland Timbers,0 - 1,Minnesota Utd,,,
42,12-06-2021,Sporting Kansas City,1 - 2,Austin,,,
420,04-07-2021,Minnesota Utd,2 - 3,San Jose Earthquakes,,,
421,08-07-2021,Colorado Rapids,2 - 0,Minnesota Utd,,,
422,18-07-2021,Minnesota Utd,1 - 0,Seattle Sounders FC,,,
423,25-07-2021,Minnesota Utd,1 - 3,Portland Timbers,,,
424,29-07-2021,Los Angeles FC,2 - 3,Minnesota Utd,,,
425,01-08-2021,Vancouver Whitecaps,2 - 3,Minnesota Utd,,,
426,08-08-2021,Minnesota Utd,2 - 0,Houston Dynamo,,,
427,14-08-2021,Minnesota Utd,0 - 1,LA Galaxy,,,
428,18-08-2021,San Jose Earthquakes,1 - 2,Minnesota Utd,,,
429,21-08-2021,Minnesota Utd,0 - 0,Sporting Kansas City,,,
43,20-06-2021,Austin,0 - 0,San Jose Earthquakes,,,
430,29-08-2021,Houston Dynamo,2 - 2,Minnesota Utd,,,
431,11-09-2021,Seattle Sounders FC,1 - 0,Minnesota Utd,,,
432,16-09-2021,Sporting Kansas City,4 - 0,Minnesota Utd,,,
433,19-09-2021,Minnesota Utd,3 - 0,LA Galaxy,,,
434,26-09-2021,Minnesota Utd,2 - 0,Houston Dynamo,,,
435,29-09-2021,DC United,1 - 4,Minnesota Utd,,,
436,03-10-2021,FC Dallas,0 - 0,Minnesota Utd,,,
437,10-10-2021,Minnesota Utd,4 - 4,Colorado Rapids,,,
438,17-10-2021,Austin,0 - 1,Minnesota Utd,,,
439,21-10-2021,Minnesota Utd,2 - 4,Philadelphia Union,,,
44,24-06-2021,Minnesota Utd,2 - 0,Austin,,,
440,24-10-2021,Minnesota Utd,1 - 2,Los Angeles FC,,,
441,28-10-2021,Vancouver Whitecaps,1 - 3,Minnesota Utd,,,
442,31-10-2021,Minnesota Utd,1 - 3,Sporting Kansas City,,,
443,07-11-2021,LA Galaxy,5 - 1,Minnesota Utd,,,
444,21-11-2021,Portland Timbers,1 - 4,Minnesota Utd,,,
445,17-04-2021,Montreal Impact,3 - 1,Toronto FC,,,
446,24-04-2021,Nashville SC (MLS),2 - 3,Montreal Impact,,,
447,01-05-2021,Montreal Impact,0 - 0,Columbus Crew,,,
448,08-05-2021,Vancouver Whitecaps,2 - 0,Montreal Impact,,,
449,12-05-2021,Club Internacional de Fútbol Miami,0 - 2,Montreal Impact,,,
45,28-06-2021,Austin,0 - 0,Columbus Crew,,,
450,15-05-2021,Atlanta United FC,1 - 0,Montreal Impact,,,
451,22-05-2021,Montreal Impact,2 - 2,FC Cincinnati,,,
452,29-05-2021,Chicago Fire,0 - 1,Montreal Impact,,,
